,0,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5,195,202.5,210,217.5,225,232.5,240,247.5,255,262.5,270,277.5,285,292.5,300,307.5,315,322.5,330,337.5,345,352.5
0.25,0.003613369,0.00419056,0.002697984,0.001885555,0,0.002446571,0.000859711,0.000948767,0.001769503,0.001732147,0.000839631,0.001796454,0.005266774,0.002394535,0.002138634,0.001583075,0.001597333,0.000691911,0.0040437,0.000852912,0,0,0.001626716,0.000476232,0,0.000891473,0.001287879,0.000771838,0.000343782,0,0.000314304,0.00092633,0.000666667,0.002118446,0.001118421,0.001122149,0.001164264,0.001637011,0.000415063,0.000958214,0.001973511,0.001471861,0,0.001517518,0.003119266,0.001517722,0.001618971,0.001270437
0.75,0.005097432,0.008307602,0.010791938,0.005574684,0.00821205,0.007339714,0.007112153,0.005865103,0.00861671,0.006298717,0.007709335,0.006170429,0.009541256,0.007183604,0.00572399,0.010577823,0.007014376,0.000691911,0.001560726,0.005272544,0.003146853,0.006367648,0.003253433,0.001948221,0.003654618,0.005232558,0.003409091,0.003758515,0.001781417,0.003662791,0.002285845,0.001852659,0.004090909,0.002461136,0.004407895,0.003300439,0.003835222,0.00202847,0.004301562,0.003791193,0.004429436,0.005367965,0.002446457,0.008123187,0.007247706,0.004017498,0.003761726,0.006241715
1.25,0.007291263,0.010807234,0.008093953,0.011067388,0.015854948,0.009066705,0.011488863,0.008711402,0.005231574,0.014172112,0.016487291,0.007107709,0.011983818,0.019860554,0.007170713,0.010577823,0.014792694,0.009246446,0.01042849,0.011320462,0.003146853,0.006367648,0.006459021,0.004935492,0.003614458,0.003488372,0.004280303,0.004563912,0.004625434,0.00494186,0.00354306,0.005775937,0.005121212,0.003177669,0.003355263,0.005247698,0.007362257,0.006049822,0.003433703,0.007040787,0.00846417,0.008831169,0.00579424,0.003525999,0.009266055,0.009552719,0.005380696,0.015576668
1.75,0.00651697,0.009925011,0.012617045,0.008362027,0.01577364,0.01136936,0.015865572,0.022597895,0.018233574,0.020470829,0.011373178,0.012340858,0.020838104,0.022255088,0.014844635,0.008994747,0.012570317,0.015725248,0.01511067,0.01496472,0.015874126,0.013182148,0.008085738,0.012295437,0.011285141,0.006162791,0.005909091,0.009530521,0.007063162,0.007587209,0.00485742,0.005803182,0.006151515,0.007383408,0.005921053,0.002607347,0.00660891,0.007651246,0.01018791,0.007582386,0.011841067,0.00978355,0.01158848,0.009015845,0.009357798,0.009017052,0.01271368,0.01369863
2.25,0.008775326,0.015806499,0.017060784,0.018609608,0.023010001,0.013024394,0.01852286,0.015611523,0.013694415,0.015982993,0.01564766,0.014215418,0.018013892,0.019156279,0.017171971,0.024321796,0.014792694,0.014970437,0.012911464,0.014034272,0.016573427,0.013349718,0.014162002,0.013724132,0.011445783,0.011395349,0.011515152,0.008020403,0.011032284,0.011162791,0.007343277,0.007138187,0.007212121,0.007726097,0.009967105,0.009637282,0.009279869,0.013380783,0.011470832,0.015956339,0.014867117,0.018961039,0.010601313,0.011068958,0.011330275,0.009641996,0.010189991,0.014527176
2.75,0.013162989,0.022423173,0.022536105,0.022216757,0.019351167,0.027703821,0.028292302,0.020441608,0.019233728,0.01511692,0.021448744,0.018511286,0.018013892,0.020001409,0.020694427,0.018709074,0.019515244,0.017800981,0.011989217,0.016515469,0.018181818,0.013349718,0.013061576,0.013724132,0.010401606,0.010077519,0.009848485,0.011007081,0.011344814,0.006627907,0.012543574,0.00956299,0.008939394,0.01015608,0.008848684,0.01488498,0.015306647,0.010071174,0.015357332,0.01912261,0.019735111,0.017229437,0.013090691,0.01557688,0.01766055,0.019194715,0.017142041,0.011931065
3.25,0.016905407,0.020070578,0.020710998,0.033448106,0.027644524,0.035187451,0.031965612,0.034328101,0.023388214,0.019447288,0.025112587,0.029133797,0.033814213,0.029579548,0.020568625,0.021443477,0.026737968,0.027110328,0.020715096,0.024424285,0.024545455,0.018823661,0.020621023,0.012208849,0.013534137,0.013992248,0.016212121,0.015034062,0.015126418,0.010523256,0.013543631,0.014467088,0.010606061,0.015421041,0.011480263,0.009637282,0.014690272,0.010747331,0.010225643,0.018206058,0.01723533,0.021991342,0.020859264,0.024235662,0.019724771,0.018257298,0.023236989,0.018172779
3.75,0.023357853,0.024922805,0.034042216,0.032464338,0.014879258,0.023530258,0.035560766,0.025185441,0.029619942,0.03023384,0.021754065,0.026556276,0.02915808,0.020705683,0.024782992,0.022882637,0.017292868,0.021323437,0.025822928,0.025277196,0.025804196,0.01949394,0.011865461,0.014633302,0.01497992,0.019457364,0.013674242,0.01506762,0.016314029,0.01372093,0.011314932,0.016020052,0.014939394,0.017944484,0.017434211,0.01082544,0.013902681,0.009608541,0.021281413,0.01912261,0.015174108,0.022857143,0.023305721,0.020798929,0.028669725,0.02173913,0.030855674,0.025132567
4.25,0.030778165,0.031465961,0.026106967,0.033530087,0.03219774,0.02453767,0.040484564,0.036053131,0.032928143,0.024879931,0.022975345,0.029133797,0.031142661,0.032467075,0.026984526,0.021227603,0.024237794,0.017046169,0.018444949,0.034504148,0.03,0.031447243,0.022247739,0.016711404,0.018514056,0.025542636,0.020530303,0.019262391,0.017314123,0.018139535,0.019115378,0.013949433,0.020575758,0.016168728,0.016348684,0.019274564,0.015066945,0.01569395,0.01747038,0.025371829,0.026138058,0.022987013,0.01738272,0.025262218,0.021376147,0.029372377,0.024284558,0.024966858
4.75,0.028519809,0.030804293,0.030471354,0.026889654,0.0394341,0.04979492,0.041500586,0.038036916,0.031389445,0.032044721,0.027402488,0.035069905,0.038088696,0.040707092,0.032771418,0.030150392,0.024168345,0.027110328,0.038521566,0.046057223,0.04027972,0.027704854,0.024879192,0.024374405,0.024337349,0.024612403,0.028219697,0.022383301,0.022970904,0.02369186,0.013943654,0.018608326,0.017121212,0.025950964,0.015855263,0.017492326,0.015032702,0.024519573,0.02426232,0.02483023,0.03197088,0.023939394,0.032705266,0.036465075,0.029449541,0.028211767,0.025189277,0.019940345
