 speed bin,sector bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5,195,202.5,210,217.5,225,232.5,240,247.5,255,262.5,270,277.5,285,292.5,300,307.5,315,322.5,330,337.5,345,352.5,
0.25,5.6,5.7,3.4,2.3,0,3.4,1.1,1.1,2.3,2.2,1.1,2.3,6.9,3.4,3.4,2.2,2.3,1.1,5.7,1.1,0,0,3.4,1.1,0,2.3,3.4,2.3,1.1,0,1.1,3.4,2.2,6.8,3.4,3.4,3.4,4.6,1.1,2.3,4.5,3.4,0,3.4,6.8,3.4,3.4,2.3,
0.75,7.9,11.3,13.6,6.8,10.1,10.2,9.1,6.8,11.2,8,10.1,7.9,12.5,10.2,9.1,14.7,10.1,1.1,2.2,6.8,4.5,11.4,6.8,4.5,9.1,13.5,9,11.2,5.7,12.6,8,6.8,13.5,7.9,13.4,10,11.2,5.7,11.4,9.1,10.1,12.4,5.7,18.2,15.8,9,7.9,11.3,
1.25,11.3,14.7,10.2,13.5,19.5,12.6,14.7,10.1,6.8,18,21.6,9.1,15.7,28.2,11.4,14.7,21.3,14.7,14.7,14.6,4.5,11.4,13.5,11.4,9,9,11.3,13.6,14.8,17,12.4,21.2,16.9,10.2,10.2,15.9,21.5,17,9.1,16.9,19.3,20.4,13.5,7.9,20.2,21.4,11.3,28.2,
1.75,10.1,13.5,15.9,10.2,19.4,15.8,20.3,26.2,23.7,26,14.9,15.8,27.3,31.6,23.6,12.5,18.1,25,21.3,19.3,22.7,23.6,16.9,28.4,28.1,15.9,15.6,28.4,22.6,26.1,17,21.3,20.3,23.7,18,7.9,19.3,21.5,27,18.2,27,22.6,27,20.2,20.4,20.2,26.7,24.8,
2.25,13.6,21.5,21.5,22.7,28.3,18.1,23.7,18.1,17.8,20.3,20.5,18.2,23.6,27.2,27.3,33.8,21.3,23.8,18.2,18.1,23.7,23.9,29.6,31.7,28.5,29.4,30.4,23.9,35.3,38.4,25.7,26.2,23.8,24.8,30.3,29.2,27.1,37.6,30.4,38.3,33.9,43.8,24.7,24.8,24.7,21.6,21.4,26.3,
2.75,20.4,30.5,28.4,27.1,23.8,38.5,36.2,23.7,25,19.2,28.1,23.7,23.6,28.4,32.9,26,28.1,28.3,16.9,21.3,26,23.9,27.3,31.7,25.9,26,26,32.8,36.3,22.8,43.9,35.1,29.5,32.6,26.9,45.1,44.7,28.3,40.7,45.9,45,39.8,30.5,34.9,38.5,43,36,21.6,
3.25,26.2,27.3,26.1,40.8,34,48.9,40.9,39.8,30.4,24.7,32.9,37.3,44.3,42,32.7,29.8,38.5,43.1,29.2,31.5,35.1,33.7,43.1,28.2,33.7,36.1,42.8,44.8,48.4,36.2,47.4,53.1,35,49.5,34.9,29.2,42.9,30.2,27.1,43.7,39.3,50.8,48.6,54.3,43,40.9,48.8,32.9,
3.75,36.2,33.9,42.9,39.6,18.3,32.7,45.5,29.2,38.5,38.4,28.5,34,38.2,29.4,39.4,31.8,24.9,33.9,36.4,32.6,36.9,34.9,24.8,33.8,37.3,50.2,36.1,44.9,52.2,47.2,39.6,58.8,49.3,57.6,53,32.8,40.6,27,56.4,45.9,34.6,52.8,54.3,46.6,62.5,48.7,64.8,45.5,
4.25,47.7,42.8,32.9,40.9,39.6,34.1,51.8,41.8,42.8,31.6,30.1,37.3,40.8,46.1,42.9,29.5,34.9,27.1,26,44.5,42.9,56.3,46.5,38.6,46.1,65.9,54.2,57.4,55.4,62.4,66.9,51.2,67.9,51.9,49.7,58.4,44,44.1,46.3,60.9,59.6,53.1,40.5,56.6,46.6,65.8,51,45.2,
4.75,44.2,41.9,38.4,32.8,48.5,69.2,53.1,44.1,40.8,40.7,35.9,44.9,49.9,57.8,52.1,41.9,34.8,43.1,54.3,59.4,57.6,49.6,52,56.3,60.6,63.5,74.5,66.7,73.5,81.5,48.8,68.3,56.5,83.3,48.2,53,43.9,68.9,64.3,59.6,72.9,55.3,76.2,81.7,64.2,63.2,52.9,36.1,
